cellule,fold,max_depth,min_child_weight,n_estimators,learning_rate,wf_pr_auc_haut,seuil_f2
APC_Haut,Fold2,6,10,500,0.05,0.03493181835603745,32.94533157348633
APC_Haut,Fold1,6,10,800,0.05,0.03568113659841551,36.334659576416016
APC_Haut,Fold2,6,10,800,0.05,0.03369183703379691,32.32172393798828
APC_Haut,Fold1,8,1,300,0.1,0.0355981288300783,36.61959457397461
APC_Haut,Fold2,8,1,300,0.1,0.021963903303196922,31.29523468017578
APC_Haut,Fold1,8,1,500,0.05,0.034074940585440916,37.39854049682617
APC_Haut,Fold2,8,1,500,0.05,0.02184391858797342,31.398590087890625
APC_Haut,Fold1,8,1,800,0.05,0.03403064468123829,37.571834564208984
APC_Haut,Fold2,8,1,800,0.05,0.021550232662244817,31.920236587524414
APC_Haut,Fold1,8,5,300,0.1,0.029352994156692347,34.60914993286133
APC_Haut,Fold2,8,5,300,0.1,0.019260273878706095,29.594409942626953
APC_Haut,Fold1,8,5,500,0.05,0.029045624057452882,37.797542572021484
APC_Haut,Fold2,8,5,500,0.05,0.021026282062289136,31.19858169555664
APC_Haut,Fold1,8,5,800,0.05,0.02921813256753934,37.97517395019531
APC_Haut,Fold2,8,5,800,0.05,0.020453503253462853,29.60491943359375
APC_Haut,Fold1,8,10,300,0.1,0.02742958291861229,35.486846923828125
APC_Haut,Fold2,8,10,300,0.1,0.01951536426721336,31.64533233642578
APC_Haut,Fold1,8,10,500,0.05,0.026716750316298988,38.14605712890625
APC_Haut,Fold2,8,10,500,0.05,0.02282140713929965,30.251628875732422
APC_Haut,Fold1,8,10,800,0.05,0.026864272118947513,38.3983154296875
APC_Haut,Fold2,8,10,800,0.05,0.022503070556026787,29.823871612548828
Enrichi_Haut_Seg,Fold1,4,1,300,0.1,0.042938318302422326,44.02861785888672
Enrichi_Haut_Seg,Fold2,4,1,300,0.1,0.09801534602820347,52.18404769897461
Enrichi_Haut_Seg,Fold1,4,1,500,0.05,0.04613353561239002,43.78797912597656
Enrichi_Haut_Seg,Fold2,4,1,500,0.05,0.1055271947807035,49.57745361328125
Enrichi_Haut_Seg,Fold1,4,1,800,0.05,0.04654492420784278,43.72877502441406
Enrichi_Haut_Seg,Fold2,4,1,800,0.05,0.11158109617504038,50.09151077270508
Enrichi_Haut_Seg,Fold1,4,5,300,0.1,0.042949162417718484,45.2789421081543
Enrichi_Haut_Seg,Fold2,4,5,300,0.1,0.11523636176384365,46.74419021606445
Enrichi_Haut_Seg,Fold1,4,5,500,0.05,0.04556184439688104,41.68241500854492
Enrichi_Haut_Seg,Fold2,4,5,500,0.05,0.11519710633577407,51.536380767822266
Enrichi_Haut_Seg,Fold1,4,5,800,0.05,0.04629558424911854,44.571388244628906
Enrichi_Haut_Seg,Fold2,4,5,800,0.05,0.17554188077000146,49.85966491699219
Enrichi_Haut_Seg,Fold1,4,10,300,0.1,0.048082028304761,43.07403564453125
Enrichi_Haut_Seg,Fold2,4,10,300,0.1,0.17382903352633927,53.113624572753906
Enrichi_Haut_Seg,Fold1,4,10,500,0.05,0.04056972306157228,45.366172790527344
Enrichi_Haut_Seg,Fold2,4,10,500,0.05,0.11822918498505078,51.06128692626953
Enrichi_Haut_Seg,Fold1,4,10,800,0.05,0.040052992360063926,45.239532470703125
Enrichi_Haut_Seg,Fold2,4,10,800,0.05,0.13219439172356534,45.71858215332031
Enrichi_Haut_Seg,Fold1,6,1,300,0.1,0.0379162494124932,44.46818542480469
Enrichi_Haut_Seg,Fold2,6,1,300,0.1,0.10836063937222383,45.54446792602539
Enrichi_Haut_Seg,Fold1,6,1,500,0.05,0.03898160869837132,42.389617919921875
Enrichi_Haut_Seg,Fold2,6,1,500,0.05,0.10630878736137257,42.464927673339844
Enrichi_Haut_Seg,Fold1,6,1,800,0.05,0.03882493866094031,41.30763626098633
Enrichi_Haut_Seg,Fold2,6,1,800,0.05,0.1064916469594766,42.10786819458008
Enrichi_Haut_Seg,Fold1,6,5,300,0.1,0.03357034026700766,41.33711242675781
Enrichi_Haut_Seg,Fold2,6,5,300,0.1,0.1190796168090546,54.26446533203125
Enrichi_Haut_Seg,Fold1,6,5,500,0.05,0.0392048059565315,41.123558044433594
Enrichi_Haut_Seg,Fold2,6,5,500,0.05,0.116556553565966,51.20446014404297
Enrichi_Haut_Seg,Fold1,6,5,800,0.05,0.03913331454817085,41.346519470214844
Enrichi_Haut_Seg,Fold2,6,5,800,0.05,0.11961855718273709,51.30352020263672
Enrichi_Haut_Seg,Fold1,6,10,300,0.1,0.037263666933966086,41.333438873291016
Enrichi_Haut_Seg,Fold2,6,10,300,0.1,0.09033370283386039,46.485443115234375
Enrichi_Haut_Seg,Fold1,6,10,500,0.05,0.03931306334217974,46.63649368286133
Enrichi_Haut_Seg,Fold2,6,10,500,0.05,0.10966996487620637,49.94647216796875
Enrichi_Haut_Seg,Fold1,6,10,800,0.05,0.039144941688690066,45.858360290527344
Enrichi_Haut_Seg,Fold2,6,10,800,0.05,0.11469118610240833,50.50646209716797
Enrichi_Haut_Seg,Fold1,8,1,300,0.1,0.040575901115808805,34.02664566040039
Enrichi_Haut_Seg,Fold2,8,1,300,0.1,0.12745587409847317,40.86773681640625
