segment,trial,r2,abs_bias_gt63,bias_gt63,pr_auc_troncon,pr_auc_tour,mae_gt63,mae_global,is_pareto,hp_max_depth,hp_learning_rate,hp_n_estimators,hp_subsample,hp_colsample_bytree,hp_min_child_weight,hp_reg_lambda,hp_reg_alpha,hp_gamma
bas,17,0.6368740396012591,27.34051177094466,-27.34051177094466,0.5018853630810344,0.5892668890484342,27.54268879407562,7.296153342962022,False,10,0.016080391201610957,566,0.8003308828831038,0.9743010093990881,8,3.242441193483433,0.6656483257323359,3.546754754409232
bas,18,0.6116614989752458,27.100547030753614,-27.100547030753614,0.4801607735661385,0.5739029605248268,27.521538181183008,7.631845464501415,False,8,0.11305053272609161,524,0.6002236022941858,0.8869113356191071,10,4.206662540675461,1.3745748917036735,1.9964732415940314
bas,19,0.5950478912817605,30.052383855464843,-30.052383855464843,0.46052128172947093,0.5621892112577724,30.155589172788513,7.7634140467601975,False,3,0.04302553031342478,200,0.9965108784574399,0.8001069408577319,6,1.2079171308839438,0.8363081645641485,1.7366911868347696
bas,20,0.6303789045139168,28.133090212003687,-28.133090212003687,0.48759992256854257,0.5753885702787023,28.313133176592043,7.346990901970029,False,9,0.01855184768193615,277,0.8910149050713664,0.9992500414345163,9,3.19449645346472,1.3144831327751545,3.0262621711507887
bas,21,0.6161687838995094,27.17623235419471,-27.17623235419471,0.49450967524600437,0.5856764310726761,27.548470624602533,7.558091622746432,False,8,0.10262523980364108,349,0.7158245287599055,0.7719898235665421,10,3.6480671020616287,0.9393217848533254,4.393135032915167
bas,22,0.5895999118036181,27.694989316263207,-27.694989316263207,0.47008852521848865,0.5616018760894685,28.157065763285814,7.883245524142062,False,8,0.1804464566592313,388,0.8168165679905873,0.8329631305097227,10,4.412544406948946,1.4568383258787319,4.573496597872434
bas,23,0.6370442323985195,27.062439127996175,-27.062439127996175,0.509165925113355,0.5887684510372123,27.332287432942355,7.314966571361191,True,9,0.039444541459270205,319,0.7531737383535235,0.7455341823847353,8,2.454966947636463,1.1647686347159392,3.797854090858562
bas,24,0.5373515074171864,26.806153885982585,-26.806153885982585,0.4181304546385727,0.5332200941740205,27.857168559348874,8.471402716714296,False,10,0.29940214978875335,317,0.6364124112906064,0.7451032479187857,8,1.2719030573517611,1.103574457448399,3.605017694720303
bas,25,0.6337909889110732,27.470724302462777,-27.470724302462777,0.4994512889930317,0.5861929170889288,27.70839576559697,7.328091721285762,False,9,0.03841228601615692,236,0.6986979124972685,0.9398770580467641,7,2.6152720803183684,0.8027254127933063,4.966660906507814
bas,26,0.6256392127105603,27.811537650089516,-27.811537650089516,0.502816584488865,0.5946027246646801,28.0117432537589,7.415898951457553,False,6,0.06111430124257158,179,0.7521586005085455,0.8660698517703787,9,2.0462240843806097,0.4664028520105221,4.054048846398044
