trial,pr_auc_troncon_global,pr_auc_tour_global,r2_global,bias_gt63_global,pr_auc_troncon_bas,pr_auc_troncon_haut,hp_max_depth,hp_learning_rate,hp_n_estimators,hp_subsample,hp_colsample_bytree,hp_min_child_weight,hp_reg_lambda,hp_reg_alpha,hp_gamma
22,0.4960273947452708,0.5990583027730905,0.6775176206447491,-28.559242116719957,0.5142488804363524,0.3149787817586944,9,0.01371400139693922,600,0.7050990649284175,0.6321468195173606,7,3.1746593842064206,0.8123471062533181,4.561458596288853
18,0.4950235687283868,0.6000492283150721,0.6764068971809265,-28.43253216972088,0.5133145318620449,0.31074452829967886,9,0.018061803538991242,517,0.6003109959522872,0.7348810934437485,8,2.9218154647792116,0.7430662105491918,2.227058284565925
31,0.4950203801425121,0.5961101015693698,0.6738148268676913,-28.461906201917945,0.5116430891180397,0.3136823901221054,9,0.036671305258503734,550,0.6735451914133932,0.6297877292690568,6,3.2067669973384763,0.4797246227474645,0.020258896985720837
32,0.4946491660632881,0.5968693716842678,0.6676489476442278,-28.39909490515779,0.5126207009461032,0.30348501738369205,8,0.05312790874395604,490,0.7459900857103801,0.6679909318287608,7,3.5590315215503434,0.2048139648326614,0.10619104501616611
25,0.4933181676997563,0.5975675909235681,0.674096206462816,-28.337349308228312,0.5099686665172045,0.3047573491818216,9,0.03535541139245488,481,0.6377739022043656,0.6920112991315861,9,4.113518840880642,0.34934665523130626,3.1633280022888424
37,0.493051891807231,0.5947176069967338,0.6764649465476679,-28.259878223998825,0.5110415668363804,0.30125125999343894,10,0.022172545936523503,438,0.7439689093092551,0.721903260993927,9,0.567598685384799,0.12593194738760155,2.362087661117459
27,0.49289830179744976,0.5983228981432475,0.6759238063401278,-28.269782132093443,0.5099559465178345,0.3041343241502517,10,0.03160515458157189,488,0.6318115485606396,0.7488621218277184,9,4.389132495702048,0.6080479218754421,1.804103910172737
6,0.4919661039817287,0.5932438983504715,0.6748426413316884,-28.561101167108188,0.5109425113517941,0.2990717754199036,8,0.028869220380495747,360,0.8186841117373118,0.6739417822102108,10,3.8756641168055728,1.8789978831283782,4.474136752138244
47,0.49177402683308585,0.591938954095155,0.6743399895408124,-28.68572114664103,0.5080686394230324,0.31984180587068123,8,0.011848293040243216,600,0.9988351488554444,0.6208834343265844,2,3.697943600099827,0.1799670701560137,4.479357134024223
19,0.4914324202794621,0.5942876244564941,0.6738910788666248,-28.47404994031625,0.5090283560845086,0.3053024289963197,9,0.0409150129069666,519,0.7604581810167453,0.6405007258926646,6,2.432193958076603,1.2855309089718228,3.5779583059820914
35,0.49109626526059624,0.5919286361468161,0.6739963265810134,-28.67867539216353,0.5076718831914752,0.31684456801740035,8,0.012613658303233414,562,0.6972495930233388,0.6741357355420502,3,3.112918328479422,0.2793137567123671,1.3725856958428548
26,0.4889060275146845,0.5971374967334407,0.6700146996392448,-28.051773220091306,0.5060092224121817,0.27978745800896365,9,0.06111430124257158,538,0.6909046028300192,0.6475654937665835,9,3.3676967056823384,0.369494886226142,2.448756275375969
4,0.48886312986969926,0.5958237678168253,0.6706800280605093,-28.706203860527904,0.5056208428932132,0.3052214991065528,7,0.07500118950416987,123,0.8430179407605753,0.6682096494749166,1,4.7444276862666666,1.9312640661491187,4.041986740582305
20,0.488734225129013,0.5928173206435285,0.674390782100068,-28.76913234148371,0.5064463754305306,0.3013048521953011,10,0.01644503903976592,533,0.6030945478765133,0.8069410260856268,9,4.31006338443687,1.028198194386203,1.9688139450716018
3,0.488401302210684,0.5934326189096155,0.6694969179693688,-28.61153171543894,0.5050988073265122,0.32323604197726447,6,0.02692655251486473,406,0.6557975442608167,0.7168578594140872,4,2.28034992108518,1.5703519227860272,0.9983689107917987
17,0.48782707444854245,0.5924668229336021,0.6713715545661674,-29.227204997871763,0.505729767774407,0.31049513121075434,10,0.010150414024989295,518,0.7052117276012636,0.7075624443003646,7,2.865647964051266,1.0035723641790213,3.4154244983147786
12,0.48449954908143533,0.5866506365516937,0.6725639270269776,-28.65599874016048,0.5022482623931381,0.28248640241983514,8,0.04828926667574233,213,0.8639500008699942,0.7874820875551369,7,3.7983396795247986,1.2988077919715966,3.8400639899988898
2,0.48273843690575174,0.5846217860211943,0.6702284001672703,-29.02698961513728,0.4991649749973856,0.2959730184463777,8,0.010725209743171997,585,0.9329770563201687,0.6849356442713105,2,0.9170225492671691,0.6084844859190754,2.6237821581611893
49,0.48223658253335155,0.5880731734089922,0.6678377572620173,-29.08453598846626,0.49855755347991104,0.32361411299098336,6,0.01989822900653568,539,0.7936674388091226,0.8550086502006861,3,4.687257327386632,1.5102155073141048,3.811712749779306
34,0.48060995541734,0.5805759857430455,0.6637270208851358,-28.346518107914033,0.49769121685369716,0.293250905311335,10,0.06532017826171445,486,0.6703041685797002,0.6329406453476895,9,2.5409689701037546,0.4321982344609648,2.8011374116752776
29,0.47969945584103935,0.5820407777998788,0.646294023465156,-28.038406745441506,0.4942846587014109,0.3089510102204567,7,0.12832849661835163,557,0.7884881812380559,0.7017882423461943,10,1.4046507226229439,0.08200254580201943,3.2163661955547047
40,0.47733339083956927,0.5818558086382813,0.6634039677868857,-29.506164355920873,0.4919087519700239,0.3369435168372228,6,0.019809000301745257,316,0.623976496515215,0.6222017646145324,10,2.15182041462199,0.5760697838558925,2.639535579966864
0,0.4759245050284993,0.5902590576472103,0.6586008754969208,-29.127410599662863,0.49187962280646613,0.30766859207404135,6,0.1,300,0.8,0.8,1,1.0,0.0,0.0
10,0.4745938854627025,0.5867410760764455,0.6689028309301872,-28.447329520522967,0.4931160747880838,0.27978156094988865,10,0.046348436548119695,242,0.972916136764715,0.9846831247520431,10,3.6390034249323966,1.1999585935713055,2.8527393244084163
8,0.47452917022298013,0.5842771444010353,0.6603653287943875,-29.363798754997344,0.4907634773210432,0.3246818847586858,5,0.026000059117302653,371,0.6563696899899051,0.9208787923016158,1,4.9344346830025865,1.5444895385933148,0.993578407670862
9,0.47296557768024405,0.5882487385489285,0.6514992507121666,-28.30455796253235,0.4890044983876047,0.2990541586673994,3,0.16015312171361207,454,0.8916028672163949,0.9085081386743783,1,1.7923286427213632,0.23173811905025943,4.315517129377968
11,0.4713938171119118,0.5801548773588218,0.6702180209972181,-28.569107422410436,0.48796622557186775,0.2986180491908156,9,0.07471335496592242,104,0.7457551711149344,0.7553114397524481,10,4.678262263845718,1.9883812251585757,4.992916038553193
36,0.47111123378011377,0.5828414795048802,0.6525918305341731,-28.230015629521827,0.48818394653451486,0.28270656046819287,9,0.09386562952044326,502,0.6516939394524935,0.6251092933229088,5,2.087124905867131,0.6311094480836218,1.636800500058196
39,0.47049553328499083,0.5833798262517125,0.6546928194147974,-29.682623507892284,0.4856073766815625,0.3288167609985317,4,0.026549237087123877,400,0.6875203867743672,0.6577110784026389,4,2.5981333716725503,1.116734488740601,4.268392077679682
5,0.46336304550066676,0.5718185095335161,0.6531548471831847,-30.39759317257,0.4782335884117502,0.3310391265266083,5,0.013940346079873234,442,0.7760609974958405,0.6488152939379115,5,0.17194260557609198,1.8186408041575641,1.2938999080000846
7,0.4630722500679715,0.5819357142822913,0.6403143943243153,-27.85428497905537,0.47546238343967734,0.3005911671649625,7,0.22999586428143734,144,0.678393144967658,0.6180909155642152,4,1.9433864484474102,0.5426980635477918,4.143687545759647
28,0.45259330670389747,0.5682347198281715,0.6402150605890133,-30.83020070476128,0.466754877971016,0.29692695808812947,3,0.022306085074539694,419,0.773701619324686,0.637861377712966,6,2.4633536400355522,0.03145607077135493,3.772267465297649
1,0.4513638319881302,0.58038142076029,0.6122693147880506,-28.231644384477033,0.47033930535170887,0.24708130512297552,5,0.2536999076681771,466,0.8394633936788146,0.6624074561769746,2,0.2904180608409973,1.7323522915498704,3.005575058716044
