forme,config,k,bas.n_gt63,bas.bias_gt63,bas.mae_gt63,bas.bias_band_56_70,bas.bias_gt94,bas.bias_le63,bas.mae_global,bas.r2_global,bas.pr_auc_troncon,bas.pr_auc_tour,haut.n_gt63,haut.bias_gt63,haut.mae_gt63,haut.bias_band_56_70,haut.bias_gt94,haut.bias_le63,haut.mae_global,haut.r2_global,haut.pr_auc_troncon,haut.pr_auc_tour,global.n_gt63,global.bias_gt63,global.mae_gt63,global.bias_band_56_70,global.bias_gt94,global.bias_le63,global.mae_global,global.r2_global,global.pr_auc_troncon,global.pr_auc_tour,sigma,W1,W2
B,W2-4,3,8917,-19.182804727548973,20.790264166857316,-11.164183433496923,-37.411508308662164,2.2233374819378495,7.592958167478209,0.6375602560409069,0.502612995157865,0.5959363934046121,620,-39.616812219542844,39.68775736862613,-27.60492318488182,-65.42392326354981,1.4234475956520327,5.171227533824103,0.5091396925291949,0.3568304569336115,0.3701045131589834,9537,-20.511218761840283,22.018789466752114,-12.063037371048404,-40.45964921779031,2.017381261538975,6.982650797705464,0.6738798838163065,0.48792422926342743,0.596374557054353,,2.0,4.0
B,W2-4,5,8917,-16.372813087254613,18.766566202326903,-8.613797837050846,-34.69976326892373,3.885354257248303,8.088215403478651,0.6062148625876436,0.5077879896912519,0.5992282084995443,620,-39.061502102113536,39.168879135962456,-25.790388996719468,-66.74656509399414,1.9069471167492527,5.431508625428179,0.47936775479512095,0.3294403424721234,0.35448017183856384,9537,-17.84780387987415,20.092919774608966,-9.55288250301179,-38.1869016612056,3.375952570774505,7.418691013178112,0.6470810743143006,0.49137659669420897,0.6000306466828835,,2.0,4.0
B,W3-6,1,8917,-22.860981433637825,23.74993465764113,-15.10517516768888,-41.1035857369466,-1.17526667026989,7.455785460547653,0.6307028387059999,0.5118809046134768,0.6031441827860364,620,-42.13657646308984,42.32023097752563,-29.014155196382646,-66.13172093391418,-0.1212196656442809,4.848808579675186,0.5159146910826724,0.318661589855386,0.332798491620902,9537,-24.114087118681365,24.957188900938647,-15.865611842386757,-43.826995442819026,-0.9038698931416492,6.798793646052201,0.6694900559475191,0.4961797990751464,0.6047485046707176,,3.0,6.0
B,W3-6,2,8917,-19.206947669194687,20.561182288266863,-11.495449723964642,-37.69198531894894,1.289437670936213,7.472941375488995,0.6426453180268593,0.5150181982826828,0.6078071942689999,620,-38.899698138909955,39.17221230989502,-27.261880148387124,-63.302441959381106,0.7317514607833685,4.965161311513726,0.5210296006837719,0.35600234516544066,0.3837740231802287,9537,-20.48717261322567,21.771084627934417,-12.357437583539504,-40.47875970854982,1.1458442264122615,6.840948438890632,0.679009948329133,0.5013226938996744,0.608776166039184,,3.0,6.0
B,W3-6,3,8917,-16.221979643045366,18.675610847426086,-8.478753817873573,-35.318100479787375,2.686189800413167,7.721653019028181,0.6259749557500158,0.5125932290030222,0.6067293729574379,620,-39.07086613072503,39.27723706893383,-27.065346147151704,-63.084056768417355,1.1608010554279131,5.11121817258183,0.5147445715623807,0.352355379700268,0.36695590001394984,9537,-17.707384867157916,20.01492176882011,-9.494926566391687,-38.33942325330533,2.2934316146397205,7.063789752586408,0.6658159977516289,0.4969037825812724,0.6072747806559293,,3.0,6.0
B,W3-6,5,8917,-14.386300424021751,17.248947796852878,-6.653287412734722,-32.882060503930546,4.705379910934131,8.508505436834172,0.5725635706243362,0.5110451332332948,0.6053262848653899,620,-37.96588055299174,38.1722538784627,-26.400298418728173,-62.68863222122192,1.8915013696811236,5.408446108533224,0.4835928295911024,0.3421331822666411,0.37093950890523286,9537,-15.919208013406399,18.609171113472158,-7.732902981499777,-36.125430658151586,3.980860450250654,7.727250482834592,0.6223220136598692,0.4950045709185567,0.6066336518658686,,3.0,6.0
B,W5-10,1,8917,-20.768759904052693,22.102918532473016,-13.190416051849564,-39.01265071920132,-0.5074911812506195,7.495815441471554,0.6296140956346455,0.5114880349618056,0.6004197635253026,620,-39.82868625336597,40.09886952126699,-27.188939948031244,-63.9882147026062,0.24205979422785331,4.975982057421031,0.5017561412841398,0.3261417635890676,0.34372577708284086,9537,-22.007844976567554,23.27283460807879,-13.955748300535728,-41.73033994481665,-0.3144962596337776,6.860784912677788,0.6671044464565169,0.4969194372902346,0.600985545898326,,5.0,10.0
B,W5-10,2,8917,-17.84474844422939,19.630820408094166,-10.124887567487185,-36.884832262265085,1.4153025312062135,7.614443417220166,0.6262271441815088,0.5097708679124435,0.6063320283085404,620,-39.181907272723414,39.405708325678305,-26.41478348201048,-64.62598699569702,1.0006235067872409,5.138639532389961,0.49283060673203205,0.3302946039380757,0.353184537570034,9537,-19.23187631186767,20.916385104424474,-11.015494517447552,-39.9034562811369,1.308530679214692,6.990508890388029,0.663575993102075,0.49442028878006783,0.607658346255074,,5.0,10.0
B,W5-10,3,8917,-15.674454726912963,18.183601574391357,-8.038173595530465,-34.58613646161425,2.896756918550612,7.911641027179093,0.609420203495739,0.517432575820715,0.6150098676286546,620,-38.003053194668986,38.062542118757,-25.299820513590006,-62.83366497039795,1.7450311113586465,5.336891915979324,0.4830604953241514,0.31682294669692945,0.34225817635424954,9537,-17.12603604703551,19.47593072795188,-8.981908459992036,-37.659861000110844,2.6002097334292564,7.262771026509364,0.6498933482195752,0.5012808673892646,0.6153879014117025,,5.0,10.0
B,W5-10,5,8917,-13.53622275451193,16.506644157466564,-5.484467249702879,-32.96472717583252,5.494526042585043,8.893396367417965,0.5368768765177399,0.5037990003418378,0.6002401543550588,620,-39.679708877043616,39.86171354721751,-26.083649699866825,-64.04744216918945,1.6502728973835183,5.5881393141927695,0.4500054253882,0.29565809662623427,0.3414131000512953,9537,-15.235809773068043,18.02495631240476,-6.610673037013122,-36.34695949284633,4.504704991441905,8.06042893885927,0.5918457307935638,0.4853372511344242,0.6008240006069939,,5.0,10.0
B,W10-20,1,8917,-17.617226637277394,19.535878760966803,-10.141907333692044,-36.73009488637922,0.15700167451754096,7.678459874497829,0.6175192529438005,0.5180134000320311,0.6091445204061433,620,-40.41207105161682,40.592437764617706,-27.82141876643431,-65.58270816802978,0.39213166898722784,5.093925776502198,0.47554383196064776,0.27534401241079953,0.3152788235473534,9537,-19.099118588298726,20.904764844878258,-11.108487834667873,-39.86966107589506,0.21754311377519556,7.02712393088975,0.6551317812675843,0.5002265109447817,0.6081291649550445,,10.0,20.0
B,W10-20,2,8917,-15.124730531712398,17.5505535641339,-7.4643795314727015,-34.275579450185774,2.6643769244328652,8.084372311999761,0.5899385872251003,0.5163526600127155,0.6116782719575367,620,-38.69059313602986,39.0838403835412,-24.959188882340776,-65.41955539703369,1.2435557006474467,5.304098625561404,0.4648343189537747,0.2923588749181065,0.33968682992832216,9537,-16.656746345351575,18.95043170485242,-8.42086193491295,-37.66447781219316,2.29854285885651,7.383707466274016,0.6332682609619444,0.49944449334715324,0.6120726551698938,,10.0,20.0
B,W10-20,3,8917,-14.398711521689421,17.215944227541833,-6.637120183077476,-34.172311459123286,3.478921222655532,8.344514921143862,0.570291118337741,0.5080605307362853,0.5989882852844458,620,-39.394977098300814,39.49251172098541,-24.79480126563539,-69.83487024307252,1.1407384113544594,5.271542826578726,0.47393895619919457,0.25558881081992335,0.2918120615717515,9537,-16.02371777706313,18.664143016042935,-7.629843344240976,-38.052894569455084,2.8768842389736156,7.570086299580262,0.6195483347500463,0.48860109670631074,0.5985894102525615,,10.0,20.0
B,W10-20,5,8917,-13.28794781220819,16.180233586886626,-5.069975130376119,-32.74352898556962,5.792271959860954,9.36014650490037,0.4864421342416134,0.49414712346745193,0.5907487557182175,620,-37.12095292037533,37.25761892910926,-23.57549104031096,-63.406743927001955,2.0936455256385855,5.688582842289228,0.4344604722324984,0.25236777110714836,0.29625945828298555,9537,-14.837330549658502,17.550473590260648,-6.081715240225213,-36.08011385406063,4.839946978485186,8.434865083943855,0.5523131902094468,0.4748395125421258,0.590750458045517,,10.0,20.0
