number,value,datetime_start,datetime_complete,duration,params_depth,params_l2_leaf_reg,params_learning_rate,params_min_data_in_leaf,params_random_strength,params_rsm,params_subsample,user_attrs_fold_rmses,user_attrs_n_bas,user_attrs_n_haut,state
10,10.529730814413236,2026-07-02 14:29:48.869398,2026-07-02 14:33:14.903173,0 days 00:03:26.033775,8,6.295637946323711,0.057377690360134986,3,0.001154460820484616,0.972916136764715,0.9878148443151463,"[11.572306854640967, 10.420256269628625, 9.596629318970113]",444,379,COMPLETE
11,10.496870060976475,2026-07-02 14:33:14.903369,2026-07-02 14:36:42.685409,0 days 00:03:27.782040,8,4.818801264223969,0.052367149152430376,1,0.0013014031840021581,0.9974940948490247,0.9990262031782126,"[11.52327206690419, 10.362542781248294, 9.604795334776941]",537,320,COMPLETE
12,10.545835132485811,2026-07-02 14:36:42.685612,2026-07-02 14:40:21.880287,0 days 00:03:39.194675,8,3.737004639512387,0.040699385444240226,19,0.0016033283354571228,0.9093866237899878,0.9979673454587003,"[11.54560136060677, 10.362958897732137, 9.728945139118526]",594,426,COMPLETE
13,10.530456243321543,2026-07-02 14:40:21.880479,2026-07-02 14:43:08.940359,0 days 00:02:47.059880,9,1.069535719415383,0.10105146570202907,20,0.008101324842116031,0.9947449435491031,0.9428321098399625,"[11.608525676717687, 10.379182688113648, 9.603660365133292]",315,174,COMPLETE
14,10.533068048708612,2026-07-02 14:43:08.940565,2026-07-02 14:47:46.569964,0 days 00:04:37.629399,9,9.548424890644627,0.0312653107029903,18,0.0062431904397884765,0.919736399577824,0.940583984458037,"[11.497411893080793, 10.402935405920154, 9.698856847124885]",600,574,COMPLETE
15,10.694494286889755,2026-07-02 14:47:46.570189,2026-07-02 14:48:38.094892,0 days 00:00:51.524703,7,4.080024337276673,0.2848299727147161,1,0.019089513865926208,0.7848459033604512,0.8128088170439098,"[11.766281900030632, 10.486635638463248, 9.830565322175378]",113,57,COMPLETE
16,10.53399380319192,2026-07-02 14:48:38.095080,2026-07-02 14:53:56.556800,0 days 00:05:18.461720,9,14.920643617808258,0.052102913140168655,59,0.002425427961408855,0.8360563384464638,0.8819708330406043,"[11.537420255912448, 10.416638091118013, 9.647923062545303]",517,468,COMPLETE
17,10.521440110126344,2026-07-02 14:53:56.557179,2026-07-02 15:00:40.103655,0 days 00:06:43.546476,10,3.9702275838972185,0.026509240315353077,25,0.017721564321405873,0.930573919743892,0.9620066958979798,"[11.478587857025765, 10.410362701033861, 9.675369772319408]",595,522,COMPLETE
18,10.50653637580318,2026-07-02 15:00:40.103872,2026-07-02 15:02:51.089358,0 days 00:02:10.985486,7,1.995786150714654,0.09953996883908979,11,0.003702668353875091,0.7264080752955178,0.9054989579659412,"[11.560530913545193, 10.376454796397665, 9.582623417466676]",477,189,COMPLETE
19,10.567851818548347,2026-07-02 15:02:51.089552,2026-07-02 15:06:45.265397,0 days 00:03:54.175845,9,13.096159546253228,0.02409564227515494,54,0.019945748480747087,0.7298725192889912,0.7779297217031729,"[11.515366440719374, 10.40601282615659, 9.782176188769071]",599,568,COMPLETE
