number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_fold_rmses,user_attrs_n_bas,user_attrs_n_haut,state
28,10.592155308747586,2026-07-02 12:46:21.115721,2026-07-02 12:49:17.524303,0 days 00:02:56.408582,0.6396801653262085,0.024696458224444356,10,5,5.780546965543252,5.002779359885267,0.9118359606700356,"[11.547084705469597, 10.504162347660555, 9.725218873112603]",411,246,COMPLETE
29,10.696934805734713,2026-07-02 12:49:17.524484,2026-07-02 12:50:43.619541,0 days 00:01:26.095057,0.6914004776280681,0.04133614937947493,10,6,1.2878968177582824,1.1883193642950554,0.9997573044487743,"[11.731120284293702, 10.544467971860321, 9.815216161050117]",155,104,COMPLETE
30,10.584025366064802,2026-07-02 12:50:43.619709,2026-07-02 12:54:04.542833,0 days 00:03:20.923124,0.6226467559840547,0.014851452334458616,9,4,0.0012246651174215798,1.9678318645573882,0.8963619829699929,"[11.551517408421406, 10.478607269692324, 9.721951420080677]",539,350,COMPLETE
31,10.580062217720949,2026-07-02 12:54:04.542926,2026-07-02 12:57:27.611574,0 days 00:03:23.068648,0.6097581916255421,0.013954674595538265,9,4,0.0013927120056820201,2.05634090419643,0.8867594005294792,"[11.534872932740992, 10.495898991881466, 9.709414728540391]",561,360,COMPLETE
32,10.609775488146278,2026-07-02 12:57:27.611762,2026-07-02 13:00:32.715428,0 days 00:03:05.103666,0.600192442146967,0.012971299383562184,8,5,0.0027564588969150156,4.569017410627284,0.8777718346547335,"[11.553898930580043, 10.497571154080074, 9.777856379778719]",472,405,COMPLETE
33,10.587813751584067,2026-07-02 13:00:32.715591,2026-07-02 13:03:23.397193,0 days 00:02:50.681602,0.6580585334425872,0.025768568746005856,10,4,0.018991298265796146,8.638600702342687,0.9326260583026784,"[11.512961543773969, 10.5176019411653, 9.732877769812934]",397,245,COMPLETE
34,10.565916175008928,2026-07-02 13:03:23.397397,2026-07-02 13:06:43.189621,0 days 00:03:19.792224,0.6210523414899117,0.01623194290851204,9,6,0.0051773458379242385,2.7619450681262223,0.8870369318057014,"[11.507515792354525, 10.480211237326035, 9.710021495346226]",567,340,COMPLETE
35,10.569952331121375,2026-07-02 13:06:43.189797,2026-07-02 13:09:47.911918,0 days 00:03:04.722121,0.6626810938860134,0.017669797716443253,8,8,0.003750742894510055,6.271422331430104,0.9620063366589623,"[11.523145907769495, 10.476265472102664, 9.710445613491967]",544,358,COMPLETE
36,10.58170399921745,2026-07-02 13:09:47.912089,2026-07-02 13:12:49.807970,0 days 00:03:01.895881,0.6669935598015004,0.01769140504953825,8,8,0.005449636482963087,3.391316040735242,0.9678381778758314,"[11.540563266922982, 10.473156020434189, 9.731392710295179]",560,322,COMPLETE
37,10.595074101952056,2026-07-02 13:12:49.808159,2026-07-02 13:15:36.710150,0 days 00:02:46.901991,0.6999862492333339,0.02118734594607105,8,10,0.00238649463994147,0.9589797211318482,0.9302620430064557,"[11.590095011125745, 10.476262843077818, 9.718864451652603]",465,293,COMPLETE
38,10.627533939901308,2026-07-02 13:15:36.710316,2026-07-02 13:19:02.990214,0 days 00:03:26.279898,0.7603462978067852,0.017021884083259588,10,8,0.0048586522340437754,2.975038332656066,0.971098148501817,"[11.60932153965152, 10.518827224008138, 9.754453056044266]",466,320,COMPLETE
39,10.55055492508985,2026-07-02 13:19:02.990407,2026-07-02 13:21:58.250517,0 days 00:02:55.260110,0.6202919714206603,0.020659493394770433,8,9,0.0302819373793345,6.0297522514292,0.842384010009036,"[11.511123108286371, 10.468398929082088, 9.67214273790109]",536,313,COMPLETE
