number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_fold_rmses,user_attrs_n_bas,user_attrs_n_haut,state
17,10.665942158571916,2026-07-02 13:36:17.083466,2026-07-02 13:36:39.665739,0 days 00:00:22.582273,0.8887781922242812,0.13835862504676302,9,76,165,0.31518100224763035,0.19108553734692593,0.772457766894897,"[11.611122722561872, 10.569293541311614, 9.817410211842263]",78,51,COMPLETE
18,10.558335393293211,2026-07-02 13:36:39.665901,2026-07-02 13:37:25.681062,0 days 00:00:46.015161,0.774439933428912,0.044207413119892784,9,60,108,1.9773509103584743,1.4729168652827227,0.6783360633407317,"[11.55619439605164, 10.447148747433648, 9.67166303639434]",275,143,COMPLETE
19,10.547445977535915,2026-07-02 13:37:25.681200,2026-07-02 13:37:58.116999,0 days 00:00:32.435799,0.8939663579896714,0.06435796004882184,8,41,46,0.7606400009078323,5.661830272729053,0.7977083116476787,"[11.501260951559425, 10.464253149186744, 9.676823831861576]",344,104,COMPLETE
20,10.617540872632114,2026-07-02 13:37:58.117131,2026-07-02 13:38:46.898974,0 days 00:00:48.781843,0.954629198359287,0.020067499133995324,6,85,97,7.328306636051979,0.633715178623691,0.8659808494712584,"[11.502785151446625, 10.512407926651909, 9.837429539797807]",596,382,COMPLETE
21,10.538799876698375,2026-07-02 13:38:46.899120,2026-07-02 13:39:24.678230,0 days 00:00:37.779110,0.8809552252772734,0.055296596966522206,9,38,36,0.5903634406910423,9.891686512676042,0.7885753445217709,"[11.552411900803596, 10.420628348347302, 9.64335938094423]",494,188,COMPLETE
22,10.551124820530907,2026-07-02 13:39:24.678366,2026-07-02 13:40:01.444575,0 days 00:00:36.766209,0.8738445964974808,0.053035932413785375,9,39,39,0.14905559391530693,4.192324803088371,0.7876927254810083,"[11.56258290007671, 10.414551018183502, 9.676240543332504]",418,202,COMPLETE
23,10.535011840366442,2026-07-02 13:40:01.444726,2026-07-02 13:40:56.564609,0 days 00:00:55.119883,0.7787094917665794,0.040537045889831765,11,79,80,2.881115706521848,0.030634132638772057,0.8251323334561256,"[11.487360547373324, 10.43708605318511, 9.68058892054089]",435,179,COMPLETE
24,10.511136770373858,2026-07-02 13:40:56.564733,2026-07-02 13:41:57.579683,0 days 00:01:01.014950,0.7597239880640754,0.033989069461985655,10,65,75,3.0912479531656096,0.019989818590674824,0.7632955286971335,"[11.48377020797079, 10.414412755812531, 9.635227347338255]",525,200,COMPLETE
25,10.508549883916553,2026-07-02 13:41:57.579813,2026-07-02 13:42:58.056898,0 days 00:01:00.477085,0.7844707023078049,0.03519569233842207,11,64,78,2.7716673359046093,0.011711785677498216,0.6616065502982675,"[11.454228234440501, 10.43531195604436, 9.636109461264798]",518,174,COMPLETE
26,10.516208078543746,2026-07-02 13:42:58.057046,2026-07-02 13:43:56.789426,0 days 00:00:58.732380,0.7951010477579965,0.030182962321442672,11,64,68,9.960125378120026,0.013571176675255352,0.6349702631693611,"[11.477861857191487, 10.404266189443621, 9.666496188996126]",514,246,COMPLETE
27,10.515662643758057,2026-07-02 13:43:56.789555,2026-07-02 13:45:23.115070,0 days 00:01:26.325515,0.7286074920920786,0.01978211797587453,11,54,108,1.520493770225133,0.024203355023207012,0.6596948055991348,"[11.48698147240238, 10.40733284631371, 9.652673612558083]",581,281,COMPLETE
28,10.547877039403026,2026-07-02 13:45:23.115241,2026-07-02 13:46:07.670327,0 days 00:00:44.555086,0.6868550000082025,0.03491173216920977,8,90,51,4.0770883830766085,0.010445716804630259,0.7472876656944272,"[11.533981540816898, 10.458926450512411, 9.650723126879766]",409,264,COMPLETE
29,10.513987098379447,2026-07-02 13:46:07.670476,2026-07-02 13:47:23.352813,0 days 00:01:15.682337,0.6477639824328913,0.019907677976325387,10,72,84,2.7466444950293867,0.019077315074374837,0.6774588215303555,"[11.436262663804948, 10.413803166317981, 9.691895465015415]",595,318,COMPLETE
30,10.509377149572755,2026-07-02 13:47:23.352973,2026-07-02 13:48:42.938236,0 days 00:01:19.585263,0.6016364113495531,0.022152415183169436,11,70,82,2.5065323026147994,0.019463839406124107,0.6781596743214586,"[11.451891218980078, 10.418351362377727, 9.657888867360455]",597,286,COMPLETE
31,10.525507227754588,2026-07-02 13:48:42.938370,2026-07-02 13:50:09.118844,0 days 00:01:26.180474,0.605726259160636,0.01810641270032367,11,70,90,2.8560567382083852,0.020082673936346412,0.66447971464502,"[11.43688200822445, 10.430365996904174, 9.70927367813514]",600,315,COMPLETE
32,10.527980024514054,2026-07-02 13:50:09.119017,2026-07-02 13:51:31.244036,0 days 00:01:22.125019,0.6484353100991186,0.02257791828817903,10,62,112,1.3045119011544875,0.04529864407578256,0.6921246708073858,"[11.500464874885186, 10.423459936320045, 9.66001526233693]",584,264,COMPLETE
33,10.50336781304408,2026-07-02 13:51:31.244175,2026-07-02 13:52:24.069887,0 days 00:00:52.825712,0.6640592063976603,0.03479042492963257,11,74,83,2.537875617409442,0.04314371899177567,0.6423120366179403,"[11.445331863776717, 10.42719208232307, 9.637579493032451]",413,159,COMPLETE
34,10.494304315338214,2026-07-02 13:52:24.070045,2026-07-02 13:53:25.790606,0 days 00:01:01.720561,0.6000771907494752,0.03400520022372472,11,49,71,3.8160118172669297,0.04109881970871397,0.6316311075518078,"[11.479567885823599, 10.399584192868963, 9.603760867322078]",453,175,COMPLETE
35,10.51224173926267,2026-07-02 13:53:25.790755,2026-07-02 13:54:56.337482,0 days 00:01:30.546727,0.6064781376479759,0.03024275949414376,12,53,153,1.6733833547477126,0.04251217702822697,0.6379545037268429,"[11.492925180339489, 10.425659128762595, 9.618140908685927]",469,197,COMPLETE
36,10.50839025754862,2026-07-02 13:54:56.337618,2026-07-02 13:56:03.831957,0 days 00:01:07.494339,0.6728279397949238,0.03529291844733996,11,46,103,0.23002189613216642,0.05377044905569482,0.6331030970985075,"[11.527182467903666, 10.3911792147256, 9.606809090016588]",497,187,COMPLETE
37,10.528072032618326,2026-07-02 13:56:03.832125,2026-07-02 13:57:08.589985,0 days 00:01:04.757860,0.6806518077881214,0.03796672887730246,12,44,101,0.21239519162312287,0.05122066110450389,0.6364768445014762,"[11.546696438971473, 10.390837983717136, 9.646681675166372]",405,242,COMPLETE
38,10.58547229575595,2026-07-02 13:57:08.590132,2026-07-02 13:57:51.010433,0 days 00:00:42.420301,0.6680853339780017,0.07659500172937443,11,33,119,0.09536165746852313,0.1340549402819963,0.7133839138626559,"[11.618530338047112, 10.450987213222572, 9.686899335998168]",206,95,COMPLETE
39,10.547632893356656,2026-07-02 13:57:51.010575,2026-07-02 13:59:52.542801,0 days 00:02:01.532226,0.7169655329064458,0.015367989211927984,12,47,167,0.02837532023932577,0.0803784325341814,0.6211516389724717,"[11.520876764326683, 10.437167303018764, 9.684854612724523]",593,343,COMPLETE
